K,CH,SW
2,144.2997,0.5241
3,106.2150,0.5252
4,99.4482,0.3602
5,91.1311,0.3647
6,89.1872,0.3801
7,86.3394,0.3775
8,84.9570,0.3886
9,82.1223,0.3903
10,79.3755,0.3911

Best K (CH),2
Best K (SW),3
