K,CH,SW
2,144.275146,0.520131
3,106.215022,0.525244
4,99.448225,0.360163
5,90.599646,0.372549
6,89.222205,0.378741
7,86.343443,0.384922
8,84.120033,0.385670
9,80.740822,0.392766
10,79.288985,0.394306

Best K (CH),2
Best K (SW),3
