K,CH,SW
2,171.1607,0.3686
3,187.5363,0.4096
4,204.8932,0.4270
5,188.8525,0.3858
6,171.8410,0.2868
7,163.0313,0.2746
8,155.3112,0.2758
9,145.6056,0.2685
10,137.6463,0.2681
11,131.8624,0.2567
12,127.6429,0.2498
13,124.8260,0.2285

Best K (CH),4
Best K (SW),4
