K,CH,SW
2,702.578530,0.403286
3,549.866216,0.303884
4,445.558880,0.255052
5,383.415445,0.216107
6,343.286684,0.213660
7,316.356937,0.217491
8,296.720014,0.214147
9,285.226580,0.219244
10,274.083554,0.201470
11,268.426022,0.202097
12,256.918244,0.203323
13,249.790223,0.209958
14,240.506139,0.204423
15,234.409178,0.214041
16,226.124931,0.207487
17,219.542344,0.196005
18,213.698395,0.199578
19,208.259188,0.200340
20,202.128185,0.191413
21,196.284083,0.192596

Best K (CH),2
Best K (SW),2
