K,CH,SW
2,84.7085,0.2987
3,83.3737,0.3013
4,65.8520,0.2599
5,55.0597,0.2448
6,48.3571,0.2174
7,43.6249,0.2098
8,39.9503,0.1960
9,37.8246,0.2124

Best K (CH),2
Best K (SW),3
