K,CH,SW
2,354.3656,0.6300
3,359.8451,0.5048
4,314.4730,0.4451
5,289.5060,0.3526
6,265.7241,0.3372
7,256.8757,0.3292
8,245.9978,0.3298
9,231.1604,0.3362

Best K (CH),3
Best K (SW),2
