K,CH,SW
2,84.708504,0.298722
3,83.373748,0.301346
4,65.852046,0.259937
5,54.948960,0.243899
6,48.622258,0.221389
7,43.503987,0.204388
8,40.160232,0.203935
9,37.695354,0.138129

Best K (CH),2
Best K (SW),3
