K,CH,SW
2,354.365556,0.630047
3,359.845074,0.504769
4,314.472999,0.445065
5,289.550487,0.350987
6,264.093454,0.333165
7,254.102907,0.337191
8,229.413294,0.304697
9,218.599219,0.299693

Best K (CH),3
Best K (SW),2
