K,CH,SW
2,115.036023,0.293415
3,80.649549,0.293871
4,69.530735,0.308249
5,59.788681,0.297094
6,54.351991,0.253549
7,49.765695,0.235734
8,45.934443,0.232667
9,43.046362,0.173510
10,40.259964,0.179248
11,38.550958,0.195582
12,36.451246,0.185401
13,34.679551,0.181844

Best K (CH),2
Best K (SW),4
