K,CH,SW
2,171.160728,0.368574
3,187.536311,0.409588
4,204.893165,0.427034
5,188.852509,0.385847
6,171.807140,0.286908
7,163.075109,0.263219
8,155.540688,0.279446
9,145.555879,0.263191
10,139.388539,0.271612
11,133.959253,0.267752
12,128.399328,0.225699
13,123.854106,0.225691

Best K (CH),4
Best K (SW),4
