K,CH,SW
2,115.0360,0.2934
3,80.6480,0.2959
4,69.5344,0.3047
5,59.7887,0.2971
6,54.3487,0.2508
7,49.6751,0.2250
8,45.9182,0.2371
9,42.8742,0.1821
10,40.7703,0.1897
11,38.3385,0.1948
12,36.2963,0.1781
13,34.7056,0.1950

Best K (CH),2
Best K (SW),4
